---

## Coverage Scan Report

**Files scanned**: 10 files (positions 25–36 of 62 total; `checkin.rs` and `mod.rs` excluded — actively being modified)

**Batch**: `teamserver/src/dispatch/` — assembly, filesystem, kerberos, network, output, pivot, process, screenshot, socket, token

**Public functions found**: 38 total, **0 with tests**, **38 without**

**Coverage rate for this batch**: 0% — the entire `dispatch/` subdirectory has zero `#[cfg(test)]` blocks and zero external test references

---

**Issues filed** (8 new):

| ID | Functions | Priority |
|----|-----------|----------|
| `red-cell-c2-y4fs` | `parse_file_open_header`, `parse_file_chunk`, `parse_file_close` | P2 |
| `red-cell-c2-enwz` | `inner_demon_agent_id` (pivot binary parser) | P2 |
| `red-cell-c2-ldu0` | `mark_agent_dead_and_broadcast`, `handle_demon_info_callback`, `handle_job_callback` | P2 |
| `red-cell-c2-0eb7` | `format_filetime`, `logon_type_name`, `format_ticket_flags`, `kerberos_encryption_type_name` | P3 |
| `red-cell-c2-upwv` | `format_net_sessions`, `format_net_shares`, `int_to_ipv4` | P3 |
| `red-cell-c2-8gri` | `format_process_table`, `process_rows_json`, `format_memory_protect`, `win32_error_code_name` | P3 |
| `red-cell-c2-t4fy` | `handle_inline_execute_callback`, `handle_assembly_inline_execute_callback` | P3 |
| `red-cell-c2-m47p` | `handle_screenshot_callback`, `handle_socket_callback` | P3 |

**Worst coverage gap**: `dispatch/output.rs` — `mark_agent_dead_and_broadcast` is the sole mechanism for operators to learn an agent has died; if it fails silently, dead agents appear live in the UI indefinitely. Rated P2.

**Trend**: The `dispatch/` layer is entirely uncovered — 0 tests across 10 files and 38 public functions. The codebase overall has 1,087 test functions concentrated in the DB repository layer and integration harnesses; the callback dispatch path that bridges raw Demon binary protocol to operator events has been systematically skipped. This is the most critical remaining coverage gap.
